"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"3978c51d8a80fcb67d7732f3f4b4bef2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4c8b84741a8256ffbcbce7537cca7531",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"3eecb74e24ab72925afe3b7473f05ac2",0,0,0,0,0,0,3,0,0,0,0,1,6,0,0
"fda4533c30af568cac574bb83a0c6b8a",0,0,0,0,0,0,15,0,0,0,0,0,30,0,0
"5f53b1abda4a772c771485c559e8752d",0,0,0,0,0,0,8,3,0,3,0,3,8,0,0
"dc2e121b91909b4637553c45599f86fd",0,0,0,0,3,0,0,1,0,2,0,0,0,0,0
"3cf7eec38e89c3ff4ef595090ad40db2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"ddb71d673b7550bfb4336a6d66a6d916",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"852a4a52133ebe8ea4ad35d1d57db9ed",0,0,0,0,0,0,3,1,0,0,2,0,7,0,0
"eab5d8d1be6d4bee13a57fd7274fa3ac",0,0,0,0,0,0,1,4,5,0,0,0,0,0,0
"80d75586a0e25c254a8db0474b9c1fcf",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"96f355856581f7a7022ed086058f7b8b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"67dd6a073ba67add29b7439acf5d1bec",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"fbc3da7432cc27d1b2be63cf2f603a82",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"43be5b4c165f1ef10bdde591a302b994",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ec8427bfecbb4c639a89b2a3709331b0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"42bbaedef41ce7afaad38e891c62b742",0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
"5212788c12c7bea4ffa451f85b0590a5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"523132c0c32ae7a07238b7444f274518",3,0,0,0,0,0,2,3,0,6,0,5,0,0,0
"bc877d9c4232b0d775135b751cbd564c",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ac9240f0cfc3d5805aab7538230ebfea",5,0,0,0,0,0,5,12,0,10,1,4,3,0,0
"e7075e7272aefe3ae5151485c66bf543",0,0,0,0,0,0,0,4,1,2,5,0,0,0,0
"9b579ef9e6d078c541fcd97c487a79e6",0,0,0,0,0,0,0,0,4,2,0,0,0,25,0
"767016c3bec3b70a3baa41b435f4f981",1,0,0,0,0,0,0,3,0,1,0,2,1,0,0
"43b42e1c774c88da98e667c128178b9b",4,50,0,0,0,0,1,0,0,0,2,1,0,0,0
