sequence	16S_rRNA_Count	metadata_NSTI
0105e2d0edc374f215c1402cbfff274a	1	0.501149
0108528d7c5a7178d25200e292dde5eb	1	0.8015329999999999
01098aa7ddc2176a68e2757277cde6c6	1	0.604657
010bbd932c156af921cb09cff4ecdc93	1	0.517301
010c6627d8d7d38b3f5ac4e346451f17	1	0.587141
010d0b227abf692c68cbbca865c9c390	2	0.046699
010d5f9f3eca6a7d3c8eed58c6587b74	2	0.561114
010d87a596198f575cc1f4d5af9db1f9	1	1.366594
010e1e90eaa3573cfdeddc1b01f10000	1	0.644892999999999
010f39199b247d607f0c05e6c6bed6ad	2	0.404697
010f78f974d56b1d7c0129a5840b0264	2	0.340916
01113c2876f2a95918ad01e0ae0bfa06	1	0.183776
01121986953aff495df1d64d48351371	1	0.639191
011395c24f6af3ef2ee5fe3681a601ef	1	0.8332120000000001
0113fe2f427da73d8e182e7e69012e3a	1	0.20960399999999998
011419c81c9743f873b65a4e85ca2a35	1	0.6506569999999999
01158da9ad318608ba81406f365a89b4	1	0.8879189999999989
01161341b4bd9c973df9f4f3134b4ddd	1	1.203969
011682110c7424780672c1287d2a2931	1	0.318477
011765d54f7389eb3768aa4ef4520045	1	0.986079
0117c901b57a1e9effc8b550d409bc79	1	0.11308900000000001
011894234567ae6dec13450adcdc0340	1	0.860928
0118bcb336fecfc87efe6fc9c5b7b797	1	0.451326
011a28ae1bcd8ecf339f2c230e0d76fd	1	1.0170350000000001
011afdff875b77dbf1114362e252c0fb	1	0.313257
011ccac70d8b970b69b12d7a3446c35d	10	31.713925
011cd4439d0fe411e3c91e5b431f8876	1	1.136121
011d85d8d28d03a4b6e0e56c900603be	1	0.282675
011de1012586cbeefcc6cb29e7017648	1	0.26712800000000003
011e05abe2550e2a903258eef3e77bb9	1	0.506991
011ebf34688cc8aaeb652d78c052dce5	1	0.45826300000000003
011fd3c902642ead8e06759d3f242308	2	0.605053
011fe5ea17697eb1e2cb938cca78a493	1	0.082709
0120460a4d08d8ade581ea865bfcba1b	1	0.347304
0120a06111c1be311fbd166b2e916d63	1	0.299736
0120c40738e3df9a54ba0c7bbae9130c	1	0.16786099999999998
01220346f9d3ed1d71c68e0c50a3f70d	1	0.15293099999999998
01225ab050f073f1ba4ec92679e42223	1	0.362187
0122e48b52e6f2f8d572c06062cf133e	1	0.29749200000000003
0122fe8b53a191c9a9cc5ee2f9232971	1	0.8035220000000001
01235bd9e8999ff364169d5751f5e0df	2	0.143315
01236f04297a64e6e1f2837e56b60ccc	1	0.119744
0123c3bc53ae17af6651c75c82b119fc	1	0.984907999999999
012540514a499950ad5e57edf563e364	2	0.29575500000000005
01262f8f1855062c06d77eaa34b1e223	1	0.60672
01263941bad3dc9ea55a7296a8cb9632	1	1.076026
0127b028d0793407d1643218ee52e564	1	1.21034
012845a640f18326efe41e7f8fb2d139	1	1.005395
0128fb9810a7e4239e538c8a943e2d6e	1	0.952867
01299f0b7350b03abe09a25edd27421a	1	0.29129499999999997
012b1247ec219b8379c7c85b7a56ba4b	1	0.619732
012c13c0cf3b453862b20722c79eb0e9	1	0.23171399999999998
012c2e44ec005dfbbda37aa20ff3f4b0	1	0.42673599999999995
012c3d71d6e72900aed715f119302e31	2	0.293506
012c6e6293f3ee070cf19200955e4674	2	0.391803
012cddf3a51959f36d36c22e0c98639d	1	0.263917
012e36023e9a3922b1faf2f82388a4dc	1	1.937286
012e54b8465bcf7c75c1b042c1b09a4a	2	0.642228
01312596596634b02e2570b3566b1321	1	1.096739
01313068258bf528b9ccb93e58d226f8	1	0.17083299999999998
0131adb0e249a03c0cf3b8c5c827f338	1	0.085888
0132070d6f77ce7152f7d5bb1f5e3e4c	2	0.37108800000000003
01338b194573a9bcd4433fa4874c803e	1	0.225255
0134577e2237c0eb95d55e644d9a7c74	2	0.334254
0134bd300248a19ee8ba4039a67fb8dd	1	0.320201
0134d357ebe251b5b255255335e92ca4	1	0.718908
01353b12c9bbea84657fdda9274a1e3f	1	0.057385000000000005
01358d598681a48da734c3162d6b77a2	1	0.43122299999999997
01359d432c8ea3138e736b485e622981	1	0.056149
